label,target,kind,split,candidate_count,target_retrieved,top_candidate,name_wratio,name_token,name_partial,phonetic,alias_strength,dob_exact,dob_year,pob,nationality,address,country,type_match,used_alias
1,15525,exact,train,15,1.0,15525,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1,15525,token_order,train,15,1.0,15525,0.95,1.0,0.7894736842105263,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1,15525,ocr,train,15,1.0,15525,0.9767441860465115,0.9767441860465117,0.9523809523809522,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1,15525,transliteration,train,15,1.0,15525,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1,15525,sparse_attributes,train,15,1.0,15525,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,3961,exact,train,15,1.0,3961,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
1,3961,token_order,train,15,1.0,3961,0.95,1.0,0.6538461538461539,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1,3961,ocr,train,15,1.0,3961,0.9836065573770492,0.9836065573770492,0.9666666666666667,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1,3961,transliteration,train,15,1.0,3961,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
1,3961,sparse_attributes,train,15,1.0,3961,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
1,3961,official_alias,train,15,1.0,3961,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
1,8548,exact,train,15,1.0,8548,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
1,8548,token_order,train,15,1.0,8548,0.95,1.0,0.679245283018868,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1,8548,ocr,train,15,1.0,8548,0.9642857142857143,0.9642857142857143,0.9642857142857143,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1,8548,transliteration,train,15,1.0,8548,0.962962962962963,0.9629629629629629,0.923076923076923,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
1,8548,sparse_attributes,train,15,1.0,8548,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,5426,exact,train,15,1.0,5426,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
1,5426,token_order,train,15,1.0,5426,0.95,1.0,0.6666666666666667,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
1,5426,ocr,train,15,0.0,5438,0.855,0.5454545454545454,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.4946236559139785,1.0,1.0,0.0
1,5426,transliteration,train,15,1.0,5426,0.9333333333333332,0.5333333333333333,0.8571428571428572,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
1,5426,sparse_attributes,train,15,1.0,5426,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,5426,official_alias,train,15,1.0,5426,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
1,3408,exact,train,15,1.0,3408,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
1,3408,token_order,train,15,1.0,3408,0.95,1.0,0.5714285714285714,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,3408,ocr,train,15,1.0,3408,0.987012987012987,0.9859154929577465,0.9736842105263157,0.8333333333333334,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
1,3408,transliteration,train,15,1.0,3408,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1,3408,sparse_attributes,train,15,1.0,3408,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1,3408,official_alias,train,15,1.0,3408,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1,2682,exact,train,15,1.0,2682,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
1,2682,token_order,train,15,1.0,2682,0.95,1.0,0.8205128205128205,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,2682,ocr,train,15,1.0,2682,0.95,0.95,0.95,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
1,2682,transliteration,train,15,1.0,2682,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
1,2682,sparse_attributes,train,15,1.0,2682,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,2682,official_alias,train,15,1.0,2682,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
1,16759,exact,train,15,1.0,16759,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
1,16759,token_order,train,15,1.0,16759,0.95,1.0,0.6,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
1,16759,ocr,train,15,1.0,16759,0.9696969696969697,0.9696969696969697,0.9375,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1,16759,transliteration,train,15,1.0,16759,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
1,16759,sparse_attributes,train,15,1.0,16759,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,7628,exact,train,15,1.0,7628,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
1,7628,token_order,train,15,1.0,7628,0.95,1.0,0.6666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
1,7628,ocr,train,15,1.0,7628,0.9523809523809522,0.9523809523809524,0.9523809523809522,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
1,7628,transliteration,train,15,1.0,7628,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1,7628,sparse_attributes,train,15,1.0,7628,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1,7628,official_alias,train,15,1.0,7628,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,81,exact,train,15,1.0,81,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
1,81,token_order,train,15,1.0,81,0.95,1.0,0.6896551724137931,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
1,81,ocr,train,15,1.0,81,0.9696969696969697,0.9696969696969697,0.9375,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1,81,transliteration,train,15,1.0,81,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1,81,sparse_attributes,train,15,1.0,81,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
